item,slift,complementizer,main.subject,embedded.subject,main.object1,main.object2,main.prep,embedded.tense,main.passive
148,FALSE,WHQ,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
149,FALSE,WHQ,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
150,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
151,FALSE,NONE,NONE,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
152,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
153,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
154,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
155,FALSE,NONE,NONE,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
156,FALSE,WHQ,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
157,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
158,FALSE,WHQ,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
159,FALSE,WHQ,REFERENTIAL,NONE,NONE,NONE,FALSE,TO,FALSE
160,FALSE,NONE,NONE,NONE,TRUE,NONE,FALSE,NONE,FALSE
161,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
162,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
163,FALSE,NONE,NONE,NONE,TRUE,NONE,FALSE,NONE,FALSE
164,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,TRUE,NONE,FALSE
165,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
166,FALSE,NONE,NONE,NONE,TRUE,NONE,FALSE,NONE,FALSE
167,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
168,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
169,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
170,FALSE,NONE,NONE,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
171,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
172,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
173,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
174,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
175,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
176,FALSE,NONE,NONE,NONE,TRUE,NONE,FALSE,NONE,FALSE
177,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
178,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
179,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
180,FALSE,NONE,NONE,NONE,TRUE,NONE,FALSE,NONE,FALSE
181,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
182,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
183,FALSE,NONE,NONE,NONE,TRUE,NONE,FALSE,NONE,FALSE
184,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,TRUE,NONE,FALSE
185,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
186,FALSE,NONE,NONE,NONE,TRUE,NONE,FALSE,NONE,FALSE
187,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
188,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
189,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
190,FALSE,NONE,NONE,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
191,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
192,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
193,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
194,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
195,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
196,FALSE,NONE,NONE,NONE,TRUE,NONE,FALSE,NONE,FALSE
197,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
198,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
199,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
200,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
201,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,TRUE,NONE,FALSE
202,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
203,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,TRUE,NONE,FALSE
204,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
205,TRUE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
206,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
207,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,TRUE,NONE,FALSE
208,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,TRUE,NONE,FALSE
209,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
210,FALSE,NONE,NONE,NONE,TRUE,NONE,TRUE,NONE,FALSE
211,TRUE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
212,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
213,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
214,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
215,TRUE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
216,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,TRUE,NONE,FALSE
217,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
218,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
219,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
220,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
221,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,TRUE,NONE,FALSE
222,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
223,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,TRUE,NONE,FALSE
224,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
225,TRUE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
226,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
227,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,TRUE,NONE,FALSE
228,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,TRUE,NONE,FALSE
229,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
230,FALSE,NONE,NONE,NONE,TRUE,NONE,TRUE,NONE,FALSE
231,TRUE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
232,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
233,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
234,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
235,TRUE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
236,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,TRUE,NONE,FALSE
237,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
238,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
239,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
240,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
241,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
242,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
243,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
244,FALSE,NONE,NONE,NONE,NONE,NONE,TRUE,NONE,FALSE
245,FALSE,NONE,NONE,NONE,NONE,NONE,TRUE,NONE,FALSE
246,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
247,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
248,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
249,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
250,TRUE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
251,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
252,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
253,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
254,FALSE,NONE,NONE,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
255,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
256,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,TRUE,NONE,FALSE
257,TRUE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
258,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
259,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
260,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
